task_id,source_game_id,source_game_name,task_platform_family,task_anchor_genre,reference_rank,reference_game_id,reference_game_name,reference_platform_family,reference_anchor_genre,reference_genres_text,reference_release_year,reference_description_length,similarity_score,reference_game_name_from_corpus,reference_text_description,platform_family,anchor_genre,genre_names_text,release_year_valid,description_length,source_name_norm,reference_name_norm
TASK_136195,136195,Kandagawa Jet Girls: Racing Hearts Edition,PlayStation,Adventure,1,11527,Valkyrie Drive: Bhikkhuni,PlayStation,Adventure,"Fighting, Role-playing (RPG), Hack and slash, Adventure",2015.0,198,0.292541355088929,Valkyrie Drive: Bhikkhuni,Valkyrie Drive Bhikkhuni is the allnew allaction brawler from the creators of Senran Kagura The girls of Bhikkhuni are infected with the mysterious VRVirus and the only way to control it is to fight,PlayStation,Adventure,"Fighting, Role-playing (RPG), Hack and slash, Adventure",2015.0,198,kandagawa jet girls racing hearts edition,valkyrie drive bhikkhuni
TASK_136195,136195,Kandagawa Jet Girls: Racing Hearts Edition,PlayStation,Adventure,2,185994,HSV Adventure Racing,Nintendo,Adventure,"Racing, Adventure",1999.0,102,0.2538757891173324,HSV Adventure Racing,HSV Adventure Racing is the Australian version of Beetle Adventure Racing with the cars changed to HSV,Nintendo,Adventure,"Racing, Adventure",1999.0,102,kandagawa jet girls racing hearts edition,hsv adventure racing
TASK_136195,136195,Kandagawa Jet Girls: Racing Hearts Edition,PlayStation,Adventure,3,136669,Senran Kagura: Peach Beach Splash - Sunshine Edition,PlayStation,Shooter,"Shooter, Arcade",2018.0,172,0.1873851947722274,Senran Kagura: Peach Beach Splash - Sunshine Edition,This edition includes the following Senran Kagura Peach Beach Splash Sunshine Edition Yumi Oppai Mousepad Special Box DLC Sunshine Swimsuit 5Costume Set While supplies last,PlayStation,Shooter,"Shooter, Arcade",2018.0,172,kandagawa jet girls racing hearts edition,senran kagura peach beach splash sunshine edition
TASK_136195,136195,Kandagawa Jet Girls: Racing Hearts Edition,PlayStation,Adventure,4,33673,Heroes of the Seven Seas,PlayStation,Adventure,"Racing, Role-playing (RPG), Simulator, Adventure",2016.0,192,0.1590285128674523,Heroes of the Seven Seas,This is about a pirates adventure in the 16th century Player will be the pirate to start a stimulating journey with friends to seek after the legendary Seven Sea Artifact on the mysterious sea,PlayStation,Adventure,"Racing, Role-playing (RPG), Simulator, Adventure",2016.0,192,kandagawa jet girls racing hearts edition,heroes of the seven seas
TASK_138332,138332,Moose Life,PlayStation,Shooter,1,143826,Terra Bomber,Nintendo,Shooter,"Shooter, Indie, Arcade",2020.0,116,0.2510938605445165,Terra Bomber,Terra Bomber is presented as a two dimensional sideways scroller based upon the classic arcade shooters of the 1980s,Nintendo,Shooter,"Shooter, Indie, Arcade",2020.0,116,moose life,terra bomber
TASK_138332,138332,Moose Life,PlayStation,Shooter,2,197528,Hot Tentacles Shooter,Nintendo,Shooter,"Shooter, Indie, Arcade",2022.0,96,0.2482453722505422,Hot Tentacles Shooter,Hot Tentacles Shooter is a formidable 80s style shooter with a pixel art modern and irresistible,Nintendo,Shooter,"Shooter, Indie, Arcade",2022.0,96,moose life,hot tentacles shooter
TASK_138332,138332,Moose Life,PlayStation,Shooter,3,25932,Donuts 'N' Justice,PlayStation,Shooter,"Shooter, Indie, Arcade",2016.0,178,0.24250550505436,Donuts 'N' Justice,Donuts N Justice is a fastpaced 2d horizontal shootemup wherein you take the role of one of two Super Cops in the 1980s to defend their city against gangs violence and corruption,PlayStation,Shooter,"Shooter, Indie, Arcade",2016.0,178,moose life,donuts n justice
TASK_138332,138332,Moose Life,PlayStation,Shooter,4,151516,My Nuclear Octopus,PC,Shooter,"Shooter, Arcade",2020.0,257,0.2370805810885266,My Nuclear Octopus,My Nuclear Octopus is a psychedelic retro arcade game for fans of pure outandout arcade blasters that takes two minutes to learn and hours to master Its an overload of sight and sound for you to lose yourself in Can you make it to the top of the leaderboard,PC,Shooter,"Shooter, Arcade",2020.0,257,moose life,my nuclear octopus
TASK_144870,144870,Puzzling Places,PlayStation,Puzzle,1,157006,Moloko,PC,Puzzle,"Puzzle, Indie",2021.0,505,0.3046671335230058,Moloko,Moloko is a traditional jigsaw puzzle that anyone can easily play If it is a digital jigsaw puzzle there is no need for a wide space to assemble a wooden frame to decorate the finished puzzle and a worry about losing the last one piece You can finish the jigsaw puzzle illustration on the monitor and view the completed illustrations at any time A lot of convenient functions for completing the puzzle Moloko is a definitive version that you can enjoy a jigsaw puzzle of Windows Linux and Android platform,PC,Puzzle,"Puzzle, Indie",2021.0,505,puzzling places,moloko
TASK_144870,144870,Puzzling Places,PlayStation,Puzzle,2,123396,Jigsaw Island: Japan Graffiti,PlayStation,Puzzle,Puzzle,1996.0,419,0.2996296189819231,Jigsaw Island: Japan Graffiti,Jigsaw Island is a jigsaw puzzle game and the third title in Nippon Ichis jigsaw series As in Jigsaw Party and Jigsaw World it combines the jigsaw puzzle with elements of arcade puzzle games tasking two players or a player and the computer with solving a set of puzzles as quickly as possible Pieces are supplied to each player in a specific order and there are also powerups that can be used to hinder the other player,PlayStation,Puzzle,Puzzle,1996.0,419,puzzling places,jigsaw island japan graffiti
TASK_144870,144870,Puzzling Places,PlayStation,Puzzle,3,215059,Only Cassette Coloring!,PC,Puzzle,Puzzle,2021.0,112,0.2956229604613105,Only Cassette Coloring!,People want beautiful mixtapes You can make beautiful cassettes Help them in this small and relaxing puzzle game,PC,Puzzle,Puzzle,2021.0,112,puzzling places,only cassette coloring
TASK_144870,144870,Puzzling Places,PlayStation,Puzzle,4,147718,JigSaw Abundance,PlayStation,Puzzle,Puzzle,2020.0,242,0.2888478268215014,JigSaw Abundance,JigSaw Puzzle game with touchscreen support Use your finger to play your favorite jigsaw puzzle games Now with more themes and more puzzles 50 Different HighQuality Puzzle Images10 different themes to choose from14 calming puzzle music tracks,PlayStation,Puzzle,Puzzle,2020.0,242,puzzling places,jigsaw abundance
TASK_145741,145741,Mastho is Together,Xbox,Puzzle,1,261109,Pipe Dream,Xbox,Puzzle,"Platform, Puzzle, Arcade",2023.0,120,0.2413858992287958,Pipe Dream,This 2D platform game where we manage our little character will make you feel different from the platform games you know,Xbox,Puzzle,"Platform, Puzzle, Arcade",2023.0,120,mastho is together,pipe dream
TASK_145741,145741,Mastho is Together,Xbox,Puzzle,2,228226,Jump Dash Soar,PC,Shooter,"Shooter, Platform, Indie",2022.0,184,0.2311616022111381,Jump Dash Soar,Jump Dash Soar is a frenetic fast and fun movementbased FPS Build incredible speed with a powerful dash mechanic combined with rocket jumping strafe running slope jumps and bounce pads,PC,Shooter,"Shooter, Platform, Indie",2022.0,184,mastho is together,jump dash soar
TASK_145741,145741,Mastho is Together,Xbox,Puzzle,4,9524,Twixel,PC,Shooter,Shooter,2016.0,119,0.1865511484730242,Twixel,Control two independent pixels as you avoid any and all obstacles in the crazily hard and addictive game that is Twixel,PC,Shooter,Shooter,2016.0,119,mastho is together,twixel
TASK_145741,145741,Mastho is Together,Xbox,Puzzle,5,197964,Axolotl is Dry,PC,Adventure,"Platform, Adventure, Indie",2022.0,232,0.1850371715165502,Axolotl is Dry,Axolotl is Dry is a precision platforming game where you play as a little axolotl taken from his home Youll need to jump dash and slide your way through the harsh desert before you sweat yourself dry Help the axolotl get to his home,PC,Adventure,"Platform, Adventure, Indie",2022.0,232,mastho is together,axolotl is dry
TASK_147738,147738,Gryphon Knight Epic: Definitive Edition,PC,Shooter,1,19949,Gryphon Knight Epic,Xbox,Shooter,"Shooter, Indie",2015.0,266,0.9614617280295512,Gryphon Knight Epic,Gryphon Knight Epic is a 2D Medieval Shootem up that mixes elements from classical shootem ups exploration and duellike boss battles it tells the story of Sir Oliver and Aquila an accomplished knight and his loyal gryphon that are forced back to adventure once again,Xbox,Shooter,"Shooter, Indie",2015.0,266,gryphon knight epic definitive edition,gryphon knight epic
TASK_147738,147738,Gryphon Knight Epic: Definitive Edition,PC,Shooter,2,5646,Raiden IV OverKill,PlayStation,Shooter,"Shooter, Arcade",2014.0,202,0.2357326383107552,Raiden IV OverKill,The series that changed the history of arcade shootem ups is back with the crazed action of Overkill mode Instill fear in your enemies with devastating attacks and earn the acclaimed title of Master Ace,PlayStation,Shooter,"Shooter, Arcade",2014.0,202,gryphon knight epic definitive edition,raiden iv overkill
TASK_147738,147738,Gryphon Knight Epic: Definitive Edition,PC,Shooter,3,7154,Raiden IV,Xbox,Shooter,Shooter,2007.0,204,0.2293713137979831,Raiden IV,THE ROAR OF THUNDER IS BACK THE SERIES THAT CHANGED THE HISTORY OF ARCADE SHOOTEM UPS IS COMING TO XBOX 360 Instill fear in your enemies with devastating attacks and earn the acclaimed title of Master Ace,Xbox,Shooter,Shooter,2007.0,204,gryphon knight epic definitive edition,raiden iv
TASK_147738,147738,Gryphon Knight Epic: Definitive Edition,PC,Shooter,4,57089,Bullet Hell Monday,PC,Shooter,"Shooter, Indie, Arcade",2016.0,102,0.2178509145754047,Bullet Hell Monday,Spacethemed bullet hell shootem up game by Masayuki Ito Features many levels and upgrades to your ship,PC,Shooter,"Shooter, Indie, Arcade",2016.0,102,gryphon knight epic definitive edition,bullet hell monday
TASK_14887,14887,Championship Manager 2007,Xbox,Simulator,1,152486,Soccer Manager 2021,PC,Simulator,"Simulator, Sport, Strategy, Tactical",2020.0,751,0.3801290281504786,Soccer Manager 2021,Be a top football manager in Soccer Manager 2021 Take a football team to the top and test your management skills against the best or help a struggling team fight for glory Be a top football manager in Soccer Manager 2021 free football management game Take a football team to the top and test your management skills and build your top eleven Choose from over 800 clubs from 33 countries around the world As the football manager you control all aspects of your club Football coach duties include planning training sessions developing your clubs facilities transfers squad selection assigning squad numbers and deciding team tactics Soccer Manager 2021s level of control for your football team makes it one of the most immersive football management games,PC,Simulator,"Simulator, Sport, Strategy, Tactical",2020.0,751,championship manager 2007,soccer manager 2021
TASK_14887,14887,Championship Manager 2007,Xbox,Simulator,2,945,Football Manager 2007,Xbox,Simulator,"Simulator, Sport, Strategy",2006.0,607,0.3574457774442289,Football Manager 2007,Football Manager 2007 sold in the United States and Canada as Worldwide Soccer Manager 2007 is the third game in the Football Manager series of football management simulation games by Sports Interactive published by Sega It was released for the PC Mac AppleIntel on 18 October 2006 with Xbox 360 and PlayStation Portable versions following in December 2006 The games developers claim that the new version includes over 100 new features as well as small adjustments and bug fixes but it is essentially the second seasonal update of Football Manager 2005 following on from the successful Football Manager 2006,Xbox,Simulator,"Simulator, Sport, Strategy",2006.0,607,championship manager 2007,football manager 2007
TASK_14887,14887,Championship Manager 2007,Xbox,Simulator,3,255465,Striker Manager 3,PC,Simulator,"Simulator, Sport, Strategy",2023.0,210,0.3447752219131625,Striker Manager 3,Striker Manager 3 is the best Play to Earn multiplayer football manager game that combines the fun of traditional football games with the ability to be the owner of your ingame assets Manager your time has come,PC,Simulator,"Simulator, Sport, Strategy",2023.0,210,championship manager 2007,striker manager 3
TASK_14887,14887,Championship Manager 2007,Xbox,Simulator,4,8974,Football Manager 2013,PC,Strategy,"Sport, Strategy",2012.0,392,0.2942431570851113,Football Manager 2013,Football Manager 2013 often abbreviated to Football Manager 13 or more commonly FM13 is a 2012 football management simulation video game developed by Sports Interactive and published by Sega It was released on Microsoft Windows and OS X on 2 November 2012 Football Manager Handheld 2013 was subsequently published for PlayStation Portable on 30 November and for iOS and Android on 13 December,PC,Strategy,"Sport, Strategy",2012.0,392,championship manager 2007,football manager 2013
TASK_148964,148964,Warstride Challenges,Xbox,Shooter,1,132599,Gutwhale,Xbox,Shooter,"Shooter, Platform, Indie, Arcade",2020.0,132,0.2044976137645346,Gutwhale,Gutwhale is a finite roguelite about managing the space between you and your ammo while fighting your way through a digestive system,PlayStation,Shooter,"Shooter, Platform, Indie, Arcade",2020.0,132,warstride challenges,gutwhale
TASK_148964,148964,Warstride Challenges,Xbox,Shooter,2,237156,Enter the Slayer,PC,Role-playing (RPG),"Role-playing (RPG), Indie",2023.0,240,0.2000078882109657,Enter the Slayer,Enter the Slayer and engage in fast paced skill based exciting isometric directional combat Build your strength customize your character and slay your competition Fight to the top and experience challenging content that will test your skill,PC,Role-playing (RPG),"Role-playing (RPG), Indie",2023.0,240,warstride challenges,enter the slayer
TASK_148964,148964,Warstride Challenges,Xbox,Shooter,3,153862,Earth Marines,PlayStation,Shooter,"Shooter, Platform, Indie",2021.0,112,0.1672971878781913,Earth Marines,Earth Marines a dynamic top down shooter in which you need to save the planet from dangerous zombie brain eaters,PlayStation,Shooter,"Shooter, Platform, Indie",2021.0,112,warstride challenges,earth marines
TASK_148964,148964,Warstride Challenges,Xbox,Shooter,4,273551,Wicked Be The Ways of Men,PC,Shooter,Shooter,2005.0,398,0.1665338900292216,Wicked Be The Ways of Men,This map is different from most other maps in that the player progresses differently through the map depending on the skill level Each skill level starts the map at a different location and some of the traps are skilllevel specific Additionally the keys and weapons are at different locations for the different skill levels and there are some areas that are only accessible to specific skill levels,PC,Shooter,Shooter,2005.0,398,warstride challenges,wicked be the ways of men
TASK_152428,152428,Sweet Sugar Candy,Nintendo,Puzzle,1,175789,Devil Tears,PC,Puzzle,"Platform, Puzzle, Indie",2021.0,369,0.2061261537389714,Devil Tears,Devil Tears is a 2D platformer in which the player jumps over the cells heading for the exit blocks fall from above that can crush him spikes are placed on the levels You must overcome all levels using your reaction and logical thinking The devil is trapped in his own hell and now he needs to get out of the trap because someone drops objects on him that can crush him,PC,Puzzle,"Platform, Puzzle, Indie",2021.0,369,sweet sugar candy,devil tears
TASK_152428,152428,Sweet Sugar Candy,Nintendo,Puzzle,2,225638,Villain Project,PC,Puzzle,Puzzle,2020.0,164,0.1953481010853167,Villain Project,Each image is like a chapter of a book To understand the whole story complete all levels and check Leopold and his adventure his practice session and his final test,PC,Puzzle,Puzzle,2020.0,164,sweet sugar candy,villain project
TASK_152428,152428,Sweet Sugar Candy,Nintendo,Puzzle,3,147586,Candy Match Kiddies,Nintendo,Puzzle,"Puzzle, Arcade",2021.0,164,0.1922774760945701,Candy Match Kiddies,Line up candies in this entertaining and captivating matching game by 3 Help Kiddies get ready for a fabulous fiesta by collecting an assortment of delicious treats,Nintendo,Puzzle,"Puzzle, Arcade",2021.0,164,sweet sugar candy,candy match kiddies
TASK_152428,152428,Sweet Sugar Candy,Nintendo,Puzzle,4,265781,Paraido,PC,Puzzle,"Puzzle, Indie",2023.0,128,0.1908011284248904,Paraido,Paraido is a unique and relaxing puzzle game Complete levels by moving and rotating hexagonalshapes into their correct positions,PC,Puzzle,"Puzzle, Indie",2023.0,128,sweet sugar candy,paraido
TASK_16173,16173,Magic: The Gathering - Duels of the Planeswalkers 2012,Xbox,Strategy,1,132404,Eternower,PC,Puzzle,"Puzzle, Turn-based strategy (TBS), Indie",2020.0,95,0.2560708727267801,Eternower,Eternower is a mazingfocused Tower Defense Minimalistic thematically opportunistic mechanically,PC,Puzzle,"Puzzle, Turn-based strategy (TBS), Indie",2020.0,95,magic the gathering duels of the planeswalkers 2012,eternower
TASK_16173,16173,Magic: The Gathering - Duels of the Planeswalkers 2012,Xbox,Strategy,2,154678,Master of Magic: Caster of Magic for Windows,PC,Strategy,"Strategy, Turn-based strategy (TBS)",2021.0,129,0.2437311268954369,Master of Magic: Caster of Magic for Windows,Caster of Magic the community update to the classic Master of Magic is brought to the modern era with Caster of Magic for Windows,PC,Strategy,"Strategy, Turn-based strategy (TBS)",2021.0,129,magic the gathering duels of the planeswalkers 2012,master of magic caster of magic for windows
TASK_16173,16173,Magic: The Gathering - Duels of the Planeswalkers 2012,Xbox,Strategy,3,76445,Intergalactic traveler: The Omega Sector,PC,Puzzle,"Puzzle, Turn-based strategy (TBS), Indie, Arcade",2017.0,85,0.2382013698467371,Intergalactic traveler: The Omega Sector,A game about solving labyrinths with puzzles and battles in order to test your skills,PC,Puzzle,"Puzzle, Turn-based strategy (TBS), Indie, Arcade",2017.0,85,magic the gathering duels of the planeswalkers 2012,intergalactic traveler the omega sector
TASK_16173,16173,Magic: The Gathering - Duels of the Planeswalkers 2012,Xbox,Strategy,4,266240,Brawlers,PC,Strategy,"Strategy, Indie",2023.0,153,0.2341040620993434,Brawlers,One of the top Web3 fighting games developed by Tyranno Studios A rowdy collision of strategy and suplexes designed by the Magic The Gathering mastermind,PC,Strategy,"Strategy, Indie",2023.0,153,magic the gathering duels of the planeswalkers 2012,brawlers
TASK_171103,171103,Wraiths of Sentinel,PC,Role-playing (RPG),1,130097,盛世遮天,PC,Role-playing (RPG),Role-playing (RPG),2019.0,191,0.4643585834315241,盛世遮天,盛世遮天是一款大型多人APRG游戏游戏中拥有养成冒险打斗社交互动等各种丰富多样的功能玩家可以通过点击空白处的方式控制自己的角色在3D静态地图配合2D动态模型的即时光影成像技术下与怪物战斗和兄弟结盟挥洒热血激战沙场在服务器架构上支持多服务器动态支撑技术能容纳数万玩家在游戏内娱乐游戏美术设计上汲取了东西方的美术元素使用玄幻而写实的美术风格人物造型华丽而独特富有真实立体效果和绚丽的光影,PC,Role-playing (RPG),Role-playing (RPG),2019.0,191,wraiths of sentinel,
TASK_171103,171103,Wraiths of Sentinel,PC,Role-playing (RPG),4,156638,传奇世界之仗剑天涯H5,PC,Role-playing (RPG),Role-playing (RPG),2020.0,88,0.4643585834315241,传奇世界之仗剑天涯H5,传奇世界之仗剑天涯H5荣耀版资料片燃爆来袭不再是广告多倍升级万倍伤害天天攻沙流水线挂机刷怪高画质更流畅酷炫拽技能免费抽极炫外观任意搭震撼视觉狂战氛围快来觉醒传世魂轻狂热血续青春,PC,Role-playing (RPG),Role-playing (RPG),2020.0,88,wraiths of sentinel,h5
TASK_172625,172625,LEGO Dimensions: Excalibur Batman Fun Pack,Xbox,Adventure,1,15514,Excalibur 2555 A.D.,PC,Adventure,"Puzzle, Adventure",1997.0,285,0.2972569756597581,Excalibur 2555 A.D.,The future is about to become history The legendary sword Excalibur has been stolen by raiders from the far future As Merlins apprentice you are sent forward in time equipped with only a broadsword and limited spellcasting ability Your mission recover Excalibur and prevent catastrophe,PC,Adventure,"Puzzle, Adventure",1997.0,285,lego dimensions excalibur batman fun pack,excalibur 2555 a d
TASK_172625,172625,LEGO Dimensions: Excalibur Batman Fun Pack,Xbox,Adventure,2,10910,LEGO Worlds,Nintendo,Adventure,"Puzzle, Adventure",2017.0,680,0.2456919440316209,LEGO Worlds,LEGO Worlds is an open environment of procedurallygenerated Worlds made entirely of LEGO bricks which you can freely manipulate and dynamically populate with LEGO models Create anything you can imagine one brick at a time or use largescale landscaping tools to create vast mountain ranges and dot your world with tropical islands Drop in prefabricated structures to build and customize any world to your liking Explore using helicopters dragons motorbikes or even gorillas and unlock treasures that enhance your gameplay Watch your creations come to life through characters and creatures that interact with you and each other in unexpected ways In LEGO Worlds anything is possible,Nintendo,Adventure,"Puzzle, Adventure",2017.0,680,lego dimensions excalibur batman fun pack,lego worlds
